School,Conference
north-carolina,Atlantic Coast Conference
wake-forest,Atlantic Coast Conference
duke,Atlantic Coast Conference
florida-state,Atlantic Coast Conference
clemson,Atlantic Coast Conference
boston-college,Atlantic Coast Conference
maryland,Atlantic Coast Conference
virginia-tech,Atlantic Coast Conference
miami-fl,Atlantic Coast Conference
north-carolina-state,Atlantic Coast Conference
virginia,Atlantic Coast Conference
georgia-tech,Atlantic Coast Conference
binghamton,America East Conference
vermont,America East Conference
boston-university,America East Conference
new-hampshire,America East Conference
stony-brook,America East Conference
maryland-baltimore-county,America East Conference
albany-ny,America East Conference
maine,America East Conference
hartford,America East Conference
xavier,Atlantic 10 Conference
dayton,Atlantic 10 Conference
rhode-island,Atlantic 10 Conference
temple,Atlantic 10 Conference
duquesne,Atlantic 10 Conference
la-salle,Atlantic 10 Conference
richmond,Atlantic 10 Conference
saint-josephs,Atlantic 10 Conference
saint-louis,Atlantic 10 Conference
massachusetts,Atlantic 10 Conference
st-bonaventure,Atlantic 10 Conference
charlotte,Atlantic 10 Conference
george-washington,Atlantic 10 Conference
fordham,Atlantic 10 Conference
jacksonville,Atlantic Sun Conference
east-tennessee-state,Atlantic Sun Conference
belmont,Atlantic Sun Conference
lipscomb,Atlantic Sun Conference
mercer,Atlantic Sun Conference
campbell,Atlantic Sun Conference
stetson,Atlantic Sun Conference
kansas,Big 12 Conference
oklahoma,Big 12 Conference
missouri,Big 12 Conference
kansas-state,Big 12 Conference
texas,Big 12 Conference
texas-am,Big 12 Conference
oklahoma-state,Big 12 Conference
nebraska,Big 12 Conference
baylor,Big 12 Conference
iowa-state,Big 12 Conference
texas-tech,Big 12 Conference
colorado,Big 12 Conference
louisville,Big East Conference
pittsburgh,Big East Conference
connecticut,Big East Conference
villanova,Big East Conference
marquette,Big East Conference
syracuse,Big East Conference
west-virginia,Big East Conference
providence,Big East Conference
cincinnati,Big East Conference
notre-dame,Big East Conference
seton-hall,Big East Conference
georgetown,Big East Conference
st-johns-ny,Big East Conference
south-florida,Big East Conference
rutgers,Big East Conference
depaul,Big East Conference
weber-state,Big Sky Conference
portland-state,Big Sky Conference
montana,Big Sky Conference
idaho-state,Big Sky Conference
northern-colorado,Big Sky Conference
montana-state,Big Sky Conference
eastern-washington,Big Sky Conference
northern-arizona,Big Sky Conference
sacramento-state,Big Sky Conference
radford,Big South Conference
virginia-military-institute,Big South Conference
liberty,Big South Conference
north-carolina-asheville,Big South Conference
gardner-webb,Big South Conference
winthrop,Big South Conference
coastal-carolina,Big South Conference
charleston-southern,Big South Conference
high-point,Big South Conference
michigan-state,Big Ten Conference
illinois,Big Ten Conference
purdue,Big Ten Conference
wisconsin,Big Ten Conference
ohio-state,Big Ten Conference
penn-state,Big Ten Conference
michigan,Big Ten Conference
minnesota,Big Ten Conference
northwestern,Big Ten Conference
iowa,Big Ten Conference
indiana,Big Ten Conference
cal-state-northridge,Big West Conference
pacific,Big West Conference
long-beach-state,Big West Conference
california-riverside,Big West Conference
california-santa-barbara,Big West Conference
california-irvine,Big West Conference
cal-state-fullerton,Big West Conference
california-davis,Big West Conference
cal-poly,Big West Conference
virginia-commonwealth,Colonial Athletic Association
george-mason,Colonial Athletic Association
old-dominion,Colonial Athletic Association
northeastern,Colonial Athletic Association
hofstra,Colonial Athletic Association
drexel,Colonial Athletic Association
james-madison,Colonial Athletic Association
georgia-state,Colonial Athletic Association
delaware,Colonial Athletic Association
william-mary,Colonial Athletic Association
towson,Colonial Athletic Association
north-carolina-wilmington,Colonial Athletic Association
memphis,Conference USA
tulsa,Conference USA
alabama-birmingham,Conference USA
texas-el-paso,Conference USA
houston,Conference USA
central-florida,Conference USA
marshall,Conference USA
tulane,Conference USA
east-carolina,Conference USA
rice,Conference USA
southern-mississippi,Conference USA
southern-methodist,Conference USA
butler,Horizon League
green-bay,Horizon League
cleveland-state,Horizon League
wright-state,Horizon League
milwaukee,Horizon League
youngstown-state,Horizon League
illinois-chicago,Horizon League
loyola-il,Horizon League
valparaiso,Horizon League
detroit-mercy,Horizon League
cornell,Ivy Group
princeton,Ivy Group
yale,Ivy Group
columbia,Ivy Group
dartmouth,Ivy Group
harvard,Ivy Group
pennsylvania,Ivy Group
brown,Ivy Group
siena,Metro Atlantic Athletic Conference
niagara,Metro Atlantic Athletic Conference
rider,Metro Atlantic Athletic Conference
manhattan,Metro Atlantic Athletic Conference
fairfield,Metro Atlantic Athletic Conference
saint-peters,Metro Atlantic Athletic Conference
iona,Metro Atlantic Athletic Conference
loyola-md,Metro Atlantic Athletic Conference
canisius,Metro Atlantic Athletic Conference
marist,Metro Atlantic Athletic Conference
bowling-green-state,Mid-American Conference
buffalo,Mid-American Conference
miami-oh,Mid-American Conference
akron,Mid-American Conference
kent-state,Mid-American Conference
ohio,Mid-American Conference
ball-state,Mid-American Conference
central-michigan,Mid-American Conference
western-michigan,Mid-American Conference
eastern-michigan,Mid-American Conference
northern-illinois,Mid-American Conference
toledo,Mid-American Conference
morgan-state,Mid-Eastern Athletic Conference
south-carolina-state,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
north-carolina-at,Mid-Eastern Athletic Conference
norfolk-state,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
hampton,Mid-Eastern Athletic Conference
florida-am,Mid-Eastern Athletic Conference
howard,Mid-Eastern Athletic Conference
delaware-state,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
creighton,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
illinois-state,Missouri Valley Conference
bradley,Missouri Valley Conference
evansville,Missouri Valley Conference
wichita-state,Missouri Valley Conference
southern-illinois,Missouri Valley Conference
drake,Missouri Valley Conference
indiana-state,Missouri Valley Conference
missouri-state,Missouri Valley Conference
brigham-young,Mountain West Conference
utah,Mountain West Conference
new-mexico,Mountain West Conference
san-diego-state,Mountain West Conference
nevada-las-vegas,Mountain West Conference
wyoming,Mountain West Conference
texas-christian,Mountain West Conference
colorado-state,Mountain West Conference
air-force,Mountain West Conference
robert-morris,Northeast Conference
mount-st-marys,Northeast Conference
sacred-heart,Northeast Conference
long-island-university,Northeast Conference
quinnipiac,Northeast Conference
central-connecticut-state,Northeast Conference
wagner,Northeast Conference
st-francis-ny,Northeast Conference
monmouth,Northeast Conference
fairleigh-dickinson,Northeast Conference
saint-francis-pa,Northeast Conference
tennessee-martin,Ohio Valley Conference
austin-peay,Ohio Valley Conference
murray-state,Ohio Valley Conference
morehead-state,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
tennessee-tech,Ohio Valley Conference
jacksonville-state,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
american,Patriot League
holy-cross,Patriot League
navy,Patriot League
army,Patriot League
lehigh,Patriot League
colgate,Patriot League
bucknell,Patriot League
lafayette,Patriot League
tennessee,Southeastern Conference
south-carolina,Southeastern Conference
florida,Southeastern Conference
kentucky,Southeastern Conference
vanderbilt,Southeastern Conference
georgia,Southeastern Conference
louisiana-state,Southeastern Conference
auburn,Southeastern Conference
mississippi-state,Southeastern Conference
alabama,Southeastern Conference
mississippi,Southeastern Conference
arkansas,Southeastern Conference
western-carolina,Southern Conference
chattanooga,Southern Conference
samford,Southern Conference
appalachian-state,Southern Conference
elon,Southern Conference
north-carolina-greensboro,Southern Conference
davidson,Southern Conference
college-of-charleston,Southern Conference
citadel,Southern Conference
wofford,Southern Conference
georgia-southern,Southern Conference
furman,Southern Conference
stephen-f-austin,Southland Conference
nicholls-state,Southland Conference
southeastern-louisiana,Southland Conference
mcneese-state,Southland Conference
northwestern-state,Southland Conference
sam-houston-state,Southland Conference
texas-am-corpus-christi,Southland Conference
texas-arlington,Southland Conference
texas-san-antonio,Southland Conference
texas-state,Southland Conference
lamar,Southland Conference
north-dakota-state,Summit League
oral-roberts,Summit League
oakland,Summit League
iupui,Summit League
southern-utah,Summit League
ipfw,Summit League
south-dakota-state,Summit League
centenary-la,Summit League
western-illinois,Summit League
missouri-kansas-city,Summit League
western-kentucky,Sun Belt Conference
troy,Sun Belt Conference
middle-tennessee,Sun Belt Conference
south-alabama,Sun Belt Conference
florida-international,Sun Belt Conference
florida-atlantic,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
north-texas,Sun Belt Conference
denver,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
louisiana-monroe,Sun Belt Conference
new-orleans,Sun Belt Conference
arkansas-state,Sun Belt Conference
alabama-state,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
southern,Southwest Athletic Conference
mississippi-valley-state,Southwest Athletic Conference
texas-southern,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
grambling,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
utah-state,Western Athletic Conference
nevada,Western Athletic Conference
idaho,Western Athletic Conference
boise-state,Western Athletic Conference
new-mexico-state,Western Athletic Conference
louisiana-tech,Western Athletic Conference
san-jose-state,Western Athletic Conference
hawaii,Western Athletic Conference
fresno-state,Western Athletic Conference
gonzaga,West Coast Conference
saint-marys-ca,West Coast Conference
portland,West Coast Conference
santa-clara,West Coast Conference
san-diego,West Coast Conference
pepperdine,West Coast Conference
san-francisco,West Coast Conference
loyola-marymount,West Coast Conference
chicago-state,Independent
longwood,Independent
savannah-state,Independent
texas-pan-american,Independent
